game_pk,game_date_utc,status,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,home_score,away_score,target_home_team_win,home_team_games_played,home_team_wins,home_team_losses,home_team_win_pct,home_team_runs_scored_avg,home_team_runs_allowed_avg,home_team_run_diff_avg,home_team_recent_games,home_team_recent_win_pct,home_team_recent_runs_scored_avg,home_team_recent_runs_allowed_avg,home_team_recent_run_diff_avg,home_team_streak,home_team_home_win_pct,home_team_away_win_pct,home_team_one_run_win_pct,away_team_games_played,away_team_wins,away_team_losses,away_team_win_pct,away_team_runs_scored_avg,away_team_runs_allowed_avg,away_team_run_diff_avg,away_team_recent_games,away_team_recent_win_pct,away_team_recent_runs_scored_avg,away_team_recent_runs_allowed_avg,away_team_recent_run_diff_avg,away_team_streak,away_team_home_win_pct,away_team_away_win_pct,away_team_one_run_win_pct,h2h_games,h2h_recent_games,h2h_home_team_recent_win_pct,h2h_home_team_recent_run_diff_avg,h2h_last_meeting_home_team_won,home_pitcher_recent_appearances,home_pitcher_recent_innings_pitched,home_pitcher_recent_era,home_pitcher_recent_whip,home_pitcher_recent_k_per_9,home_pitcher_recent_bb_per_9,home_pitcher_recent_hr_per_9,home_pitcher_recent_strikeouts,home_pitcher_recent_walks,home_pitcher_recent_hits_allowed,home_pitcher_recent_pitches,home_pitcher_recent_batters_faced,away_pitcher_recent_appearances,away_pitcher_recent_innings_pitched,away_pitcher_recent_era,away_pitcher_recent_whip,away_pitcher_recent_k_per_9,away_pitcher_recent_bb_per_9,away_pitcher_recent_hr_per_9,away_pitcher_recent_strikeouts,away_pitcher_recent_walks,away_pitcher_recent_hits_allowed,away_pitcher_recent_pitches,away_pitcher_recent_batters_faced
823323,2026-03-29T00:40:00+00:00,Final,Petco Park,135,San Diego Padres,116,Detroit Tigers,681190,Randy Vásquez,656427,Jack Flaherty,3,0,1,2,0,2,0.0,2.0,6.5,-4.5,2,0.0,2.0,6.5,-4.5,-2,0.0,,,2,2,0,1.0,6.5,2.0,4.5,2,1.0,6.5,2.0,4.5,2,,1.0,,2,2,0.0,-4.5,0,1,6.0,0.0,0.8333,12.0,4.5,0.0,8.0,3.0,2.0,91.0,23.0,1,4.3333,4.1538,1.8462,4.1538,8.3077,0.0,2.0,4.0,4.0,89.0,21.0
823973,2026-03-29T01:10:00+00:00,Final,UNIQLO Field at Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,607192,Tyler Glasnow,593958,Eduardo Rodriguez,3,2,1,2,2,0,1.0,6.5,3.0,3.5,2,1.0,6.5,3.0,3.5,2,1.0,,1.0,2,0,2,0.0,3.0,6.5,-3.5,2,0.0,3.0,6.5,-3.5,-2,,0.0,0.0,2,2,1.0,3.5,1,1,6.0,3.0,0.8333,9.0,1.5,0.0,6.0,1.0,4.0,90.0,23.0,1,5.0,0.0,1.2,9.0,3.6,0.0,5.0,2.0,4.0,79.0,20.0
823161,2026-03-29T01:40:00+00:00,Final,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,693433,Bryan Woo,676282,Joey Cantillo,5,6,0,2,1,1,0.5,4.5,3.5,1.0,2,0.5,4.5,3.5,1.0,1,0.5,,,2,1,1,0.5,3.5,4.5,-1.0,2,0.5,3.5,4.5,-1.0,-1,,0.5,,2,2,0.5,1.0,1,1,6.0,3.0,0.8333,13.5,1.5,0.0,9.0,1.0,4.0,83.0,23.0,1,3.6667,4.9091,1.9091,12.2727,7.3636,0.0,5.0,3.0,4.0,91.0,18.0
824864,2026-03-29T17:35:00+00:00,Final,Oriole Park at Camden Yards,110,Baltimore Orioles,142,Minnesota Twins,669358,Shane Baz,641927,Bailey Ober,8,6,1,2,1,1,0.5,1.5,2.5,-1.0,2,0.5,1.5,2.5,-1.0,-1,0.5,,1.0,2,1,1,0.5,2.5,1.5,1.0,2,0.5,2.5,1.5,1.0,1,,0.5,0.0,2,2,0.5,-1.0,0,1,5.3333,6.75,1.3125,6.75,0.0,0.0,4.0,,7.0,78.0,21.0,1,4.0,6.75,1.25,2.25,2.25,2.25,1.0,1.0,4.0,56.0,17.0
823487,2026-03-29T17:35:00+00:00,Final,Citizens Bank Park,143,Philadelphia Phillies,140,Texas Rangers,666200,Jesús Luzardo,669022,MacKenzie Gore,3,8,0,2,1,1,0.5,4.5,4.0,0.5,2,0.5,4.5,4.0,0.5,-1,0.5,,0.0,2,1,1,0.5,4.0,4.5,-0.5,2,0.5,4.0,4.5,-0.5,1,,0.5,1.0,2,2,0.5,0.5,0,1,6.0,9.0,1.1667,10.5,1.5,3.0,7.0,1.0,6.0,99.0,25.0,1,5.3333,3.375,0.9375,11.8125,5.0625,0.0,7.0,3.0,2.0,90.0,22.0
824944,2026-03-29T17:35:00+00:00,Final,Truist Park,144,Atlanta Braves,118,Kansas City Royals,656550,Grant Holmes,607625,Seth Lugo,1,4,0,2,2,0,1.0,6.0,1.0,5.0,2,1.0,6.0,1.0,5.0,2,1.0,,,2,0,2,0.0,1.0,6.0,-5.0,2,0.0,1.0,6.0,-5.0,-2,,0.0,,2,2,1.0,5.0,1,1,5.0,5.4,1.4,7.2,3.6,1.8,4.0,2.0,5.0,76.0,22.0,1,6.3333,0.0,0.7895,4.2632,0.0,0.0,3.0,,5.0,77.0,24.0
822837,2026-03-29T17:37:00+00:00,Final,Rogers Centre,141,Toronto Blue Jays,133,Athletics,641778,Eric Lauer,806960,Luis Morales,5,2,1,2,2,0,1.0,5.5,4.5,1.0,2,1.0,5.5,4.5,1.0,2,1.0,,1.0,2,0,2,0.0,4.5,5.5,-1.0,2,0.0,4.5,5.5,-1.0,-2,,0.0,0.0,2,2,1.0,1.0,1,1,5.3333,3.375,0.75,15.1875,1.6875,1.6875,9.0,1.0,3.0,87.0,20.0,1,4.3333,10.3846,1.6154,10.3846,4.1538,6.2308,5.0,2.0,5.0,71.0,20.0
824538,2026-03-29T17:40:00+00:00,Final,Great American Ball Park,113,Cincinnati Reds,111,Boston Red Sox,695076,Rhett Lowder,813349,Connelly Early,3,2,1,2,1,1,0.5,3.0,4.0,-1.0,2,0.5,3.0,4.0,-1.0,1,0.5,,1.0,2,1,1,0.5,4.0,3.0,1.0,2,0.5,4.0,3.0,1.0,-1,,0.5,0.0,2,2,0.5,-1.0,1,1,5.0,3.6,1.0,9.0,3.6,1.8,5.0,2.0,3.0,86.0,20.0,1,5.3333,1.6875,1.3125,10.125,3.375,0.0,6.0,2.0,5.0,96.0,21.0
823647,2026-03-29T17:40:00+00:00,Final,Citi Field,121,New York Mets,134,Pittsburgh Pirates,690997,Nolan McLean,669387,Carmen Mlodzinski,3,4,0,2,2,0,1.0,7.5,4.5,3.0,2,1.0,7.5,4.5,3.0,2,1.0,,,2,0,2,0.0,4.5,7.5,-3.0,2,0.0,4.5,7.5,-3.0,-2,,0.0,,2,2,1.0,3.0,1,1,5.0,3.6,1.2,14.4,3.6,1.8,8.0,2.0,4.0,84.0,22.0,1,4.3333,4.1538,1.3846,16.6154,0.0,0.0,8.0,,6.0,85.0,20.0
823891,2026-03-29T17:40:00+00:00,Final,loanDepot park,146,Miami Marlins,115,Colorado Rockies,676974,Max Meyer,500779,Jose Quintana,4,3,1,2,2,0,1.0,3.0,2.0,1.0,2,1.0,3.0,2.0,1.0,2,1.0,,1.0,2,0,2,0.0,2.0,3.0,-1.0,2,0.0,2.0,3.0,-1.0,-2,,0.0,0.0,2,2,1.0,1.0,1,1,5.0,5.4,1.4,9.0,3.6,0.0,5.0,2.0,5.0,81.0,23.0,1,4.3333,4.1538,1.8462,4.1538,8.3077,0.0,2.0,4.0,4.0,78.0,19.0
