game_pk,game_date_utc,team_side,team_id,team_name,opponent_team_id,opponent_team_name,probable_pitcher_id,probable_pitcher_name,games_played,wins,losses,win_pct,runs_scored_avg,runs_allowed_avg,run_diff_avg,recent_games,recent_win_pct,recent_runs_scored_avg,recent_runs_allowed_avg,recent_run_diff_avg,streak,home_win_pct,away_win_pct,home_runs_scored_avg,home_runs_allowed_avg,away_runs_scored_avg,away_runs_allowed_avg,one_run_win_pct,recent3_win_pct,recent5_win_pct,recent3_runs_scored_avg,recent3_runs_allowed_avg,recent5_runs_scored_avg,recent5_runs_allowed_avg,pythag_win_pct,rest_days,played_yesterday,games_last_7_days,travel_distance_km,last_game_was_home,last_game_margin,last_game_runs_scored,last_game_runs_allowed,last_game_won,standings_wins,standings_losses,standings_games_played,standings_win_pct,standings_run_diff,standings_pythag_win_pct,standings_league_id,standings_division_id,standings_league_rank,standings_league_games_back,standings_division_rank,standings_division_games_back,bullpen_recent_games,bullpen_games_with_relief,bullpen_relievers_used,bullpen_innings_pitched,bullpen_era,bullpen_whip,bullpen_k_per_9,bullpen_pitches,bullpen_avg_relievers_per_game,pitcher_recent_appearances,pitcher_recent_innings_pitched,pitcher_recent_era,pitcher_recent_whip,pitcher_recent_k_per_9,pitcher_recent_bb_per_9,pitcher_recent_hr_per_9,pitcher_recent_strikeouts,pitcher_recent_walks,pitcher_recent_hits_allowed,pitcher_recent_pitches,pitcher_recent_batters_faced,pitcher_season_appearances,pitcher_season_innings_pitched,pitcher_season_era,pitcher_season_whip,pitcher_season_k_per_9,pitcher_season_bb_per_9,pitcher_season_hr_per_9,pitcher_days_since_last_appearance,pitcher_last_appearance_innings_pitched,pitcher_last_appearance_earned_runs,pitcher_last_appearance_hits,pitcher_last_appearance_walks,pitcher_last_appearance_strikeouts,pitcher_last_appearance_pitches
823488,2026-03-28T20:05:00+00:00,away,140,Texas Rangers,143,Philadelphia Phillies,656641,Jacob Latz,1,0,1,0.0,3.0,5.0,-2.0,1,0.0,3.0,5.0,-2.0,-1,,0.0,,,3.0,5.0,,0.0,0.0,3.0,5.0,3.0,5.0,0.2647,1,0,1,,0,-2,3,5,0,0,1,1,0.0,-2,0.2647,103,200,10,1.5,3,1.5,1,1,3,3.3333,0.0,0.9,8.1,63.0,3.0,1,4.0,0.0,0.25,6.75,2.25,0.0,3.0,1.0,,68.0,14.0,1,4.0,0.0,0.25,6.75,2.25,0.0,0,4.0,0.0,0.0,1.0,3.0,68.0
824540,2026-03-28T20:10:00+00:00,home,113,Cincinnati Reds,111,Boston Red Sox,663903,Brady Singer,1,0,1,0.0,0.0,3.0,-3.0,1,0.0,0.0,3.0,-3.0,-1,0.0,,0.0,3.0,,,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1,0,1,,1,-3,0,3,0,0,1,1,0.0,-3,0.0,104,205,11,1.0,4,1.0,1,1,5,3.0,9.0,2.3333,9.0,48.0,5.0,1,4.0,6.75,1.75,11.25,4.5,2.25,5.0,2.0,5.0,74.0,20.0,1,4.0,6.75,1.75,11.25,4.5,2.25,0,4.0,3.0,5.0,2.0,5.0,74.0
824540,2026-03-28T20:10:00+00:00,away,111,Boston Red Sox,113,Cincinnati Reds,543243,Sonny Gray,1,1,0,1.0,3.0,0.0,3.0,1,1.0,3.0,0.0,3.0,1,,1.0,,,3.0,0.0,,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1,0,1,,0,3,3,0,1,1,0,1,1.0,3,1.0,103,201,4,0.5,2,0.5,1,1,3,3.0,0.0,0.6667,12.0,46.0,3.0,1,4.0,6.75,1.75,11.25,2.25,2.25,5.0,1.0,6.0,80.0,20.0,1,4.0,6.75,1.75,11.25,2.25,2.25,0,4.0,3.0,6.0,1.0,5.0,80.0
823651,2026-03-28T20:10:00+00:00,home,121,New York Mets,134,Pittsburgh Pirates,656849,David Peterson,1,1,0,1.0,11.0,7.0,4.0,1,1.0,11.0,7.0,4.0,1,1.0,,11.0,7.0,,,,1.0,1.0,11.0,7.0,11.0,7.0,0.7118,1,0,1,,1,4,11,7,1,1,0,1,1.0,4,0.7118,104,204,4,0.0,2,0.0,1,1,2,4.0,6.75,1.0,6.75,59.0,2.0,1,5.3333,0.0,1.5,5.0625,3.375,0.0,3.0,2.0,6.0,76.0,25.0,1,5.3333,0.0,1.5,5.0625,3.375,0.0,0,5.3333,0.0,6.0,2.0,3.0,76.0
823651,2026-03-28T20:10:00+00:00,away,134,Pittsburgh Pirates,121,New York Mets,656605,Mitch Keller,1,0,1,0.0,7.0,11.0,-4.0,1,0.0,7.0,11.0,-4.0,-1,,0.0,,,7.0,11.0,,0.0,0.0,7.0,11.0,7.0,11.0,0.2882,1,0,1,,0,-4,7,11,0,0,1,1,0.0,-4,0.2882,104,205,12,1.0,5,1.0,1,1,6,7.3333,7.3636,1.9091,11.0455,155.0,6.0,1,6.0,0.0,0.5,4.5,0.0,0.0,3.0,,3.0,77.0,21.0,1,6.0,0.0,0.5,4.5,0.0,0.0,0,6.0,0.0,3.0,0.0,3.0,77.0
823892,2026-03-28T20:10:00+00:00,home,146,Miami Marlins,115,Colorado Rockies,691587,Eury Pérez,1,1,0,1.0,2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.8,0,1,1,,1,1,2,1,1,1,0,1,1.0,1,0.8,104,204,6,0.0,3,0.0,1,1,3,2.0,0.0,1.5,18.0,35.0,3.0,1,7.0,3.8571,0.8571,10.2857,1.2857,2.5714,8.0,1.0,5.0,93.0,27.0,1,7.0,3.8571,0.8571,10.2857,1.2857,2.5714,0,7.0,3.0,5.0,1.0,8.0,93.0
823892,2026-03-28T20:10:00+00:00,away,115,Colorado Rockies,146,Miami Marlins,547179,Michael Lorenzen,1,0,1,0.0,1.0,2.0,-1.0,1,0.0,1.0,2.0,-1.0,-1,,0.0,,,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.2,0,1,1,,0,-1,1,2,0,0,1,1,0.0,-1,0.2,104,203,10,1.0,2,1.5,1,1,3,3.6667,0.0,0.8182,4.9091,44.0,3.0,1,4.3333,6.2308,1.6154,8.3077,0.0,2.0769,4.0,,7.0,93.0,22.0,1,4.3333,6.2308,1.6154,8.3077,0.0,2.0769,0,4.3333,3.0,7.0,0.0,4.0,93.0
824213,2026-03-28T23:10:00+00:00,home,117,Houston Astros,108,Los Angeles Angels,664299,Cristian Javier,2,0,2,0.0,1.0,4.5,-3.5,2,0.0,1.0,4.5,-3.5,-2,0.0,,1.0,4.5,,,,0.0,0.0,1.0,4.5,1.0,4.5,0.0471,0,0,2,,1,-4,2,6,0,0,2,2,0.0,-7,0.0471,103,200,14,2.0,5,2.0,2,2,6,7.6667,4.6957,1.6957,11.7391,159.0,3.0,1,4.6667,11.5714,1.7143,1.9286,7.7143,3.8571,1.0,4.0,4.0,74.0,21.0,1,4.6667,11.5714,1.7143,1.9286,7.7143,3.8571,0,4.6667,6.0,4.0,4.0,1.0,74.0
824213,2026-03-28T23:10:00+00:00,away,108,Los Angeles Angels,117,Houston Astros,672282,Reid Detmers,2,2,0,1.0,4.5,1.0,3.5,2,1.0,4.5,1.0,3.5,2,,1.0,,,4.5,1.0,,1.0,1.0,4.5,1.0,4.5,1.0,0.9529,0,0,2,,0,4,6,2,1,2,0,2,1.0,7,0.9529,103,200,3,0.0,1,0.0,2,2,8,7.6667,0.0,0.6522,10.5652,112.0,4.0,1,4.6667,5.7857,1.2857,17.3571,0.0,0.0,9.0,,6.0,95.0,21.0,1,4.6667,5.7857,1.2857,17.3571,0.0,0.0,0,4.6667,3.0,6.0,0.0,9.0,95.0
823811,2026-03-28T23:10:00+00:00,home,158,Milwaukee Brewers,145,Chicago White Sox,694477,Chad Patrick,1,1,0,1.0,14.0,2.0,12.0,1,1.0,14.0,2.0,12.0,1,1.0,,14.0,2.0,,,,1.0,1.0,14.0,2.0,14.0,2.0,0.98,1,0,1,,1,12,14,2,1,1,0,1,1.0,12,0.98,104,205,1,0.0,1,0.0,1,1,4,4.0,2.25,1.0,20.25,61.0,4.0,1,4.3333,2.0769,1.3846,8.3077,2.0769,2.0769,4.0,1.0,5.0,74.0,19.0,1,4.3333,2.0769,1.3846,8.3077,2.0769,2.0769,0,4.3333,1.0,5.0,1.0,4.0,74.0
